46457	99081	
13637	42720	
19789	31820	
67267	95251	
66458	74422	
53115	19036	
97583	86683	
53775	70317	
85439	26058	
39975	90655	
37772	6283	
56746	97346	
93937	41282	
61240	86223	
41420	79536	
50758	35289	
38022	51512	
69238	95105	
27872	3903	
81811	88457	
55869	52460	
63238	37696	
30086	68048	
97016	1660	
69918	22335	
63173	19494	
8578	62492	
95833	60655	
44508	17939	
13226	85217	
57221	2143	
39409	36784	
85972	60588	
24870	54671	
81128	74647	
52151	47870	
46733	46673	
68772	20961	
37838	53474	
71674	38477	
36536	43914	
48971	40219	
15783	9315	
24071	37311	
43856	16803	
3193	69938	
1897	7038	
93855	23499	
80952	55784	
80167	80588	
16087	51703	
49155	56792	
40449	32391	
489	24035	
82236	50935	
51178	60578	
20483	54800	
61069	54626	
87534	73446	
87655	58068	
48288	25591	
95096	73509	
54669	51921	
72357	8556	
75110	48016	
57934	4381	
89763	25349	
61516	79611	
82123	26546	
22185	75466	
96067	14929	
41595	4353	
83505	821	
45662	10878	
24171	47944	
14445	3604	
2497	38195	
31549	51552	
40548	6972	
49718	92473	
60657	34058	
23855	902	
16254	19524	
17637	61353	
58880	14711	
39960	79897	
59031	1782	
86082	9613	
68886	29948	
90964	17972	
98962	66157	
41838	29218	
88135	87994	
51419	62501	
24354	80003	
18247	98166	
58414	51863	
77566	45258	
29022	89495	
42051	11112	
30708	29913	
9193	78709	
65516	10793	
86801	47403	
48008	99849	
96289	84360	
59192	96952	
66429	24195	
63269	23985	
16293	11321	
25755	27306	
53195	47142	
68849	24861	
11631	37775	
30774	50116	
44793	41979	
68378	57757	
86706	63202	
4438	54957	
13183	61790	
38681	65441	
43483	77278	
4015	4975	
95663	86010	
28880	82235	
47377	82080	
41187	48630	
61239	65868	
31213	9984	
25526	49495	
38202	19886	
28955	13095	
11335	11559	
33445	62020	
62153	32008	
93053	59914	
80477	51783	
32628	60954	
89709	13973	
57751	96491	
51644	98269	
36657	17566	
72334	75401	
73310	80495	
12471	51011	
21991	70311	
48927	73593	
27422	75374	
14414	33786	
74935	11934	
88377	77853	
42946	65075	
32777	8864	
85505	2687	
64517	35150	
58858	76346	
81052	314	
68506	67638	
72177	19176	
38708	94576	
22563	50123	
78517	92099	
15863	30889	
94261	55830	
47236	16570	
30493	22998	
66939	67503	
44799	18078	
48049	19024	
91318	72274	
16427	51422	
67739	29068	
57413	76183	
50145	70157	
86911	49815	
30862	85973	
73924	64892	
66614	12718	
12984	4386	
25301	92738	
51613	83116	
2089	76110	
87906	67588	
47370	41614	
31369	49786	
11367	14967	
95827	30217	
49534	26723	
61355	37367	
17944	18887	
13547	52123	
68831	21345	
18287	54296	
44316	91373	
94036	63560	
47825	27639	
98796	37236	
28208	45770	
51586	52703	
64982	71143	
28004	46755	
87624	95762	
36626	92179	
39592	36070	
23393	89471	
85300	27496	
556	24790	
3291	73464	
44087	99238	
98365	22948	
53345	43711	
74046	82776	
88391	6485	
33830	8080	
10383	20516	
29912	79630	
62647	2734	
77549	86406	
88730	61248	
86572	72086	
24060	18099	
84585	98771	
18899	10637	
81783	21535	
34802	59496	
43275	18423	
1586	5323	
90991	75241	
16287	38964	
10815	6626	
93469	58135	
45891	70661	
39414	99616	
45641	58328	
43329	52404	
33695	20761	
3151	62837	
50666	73582	
88693	20101	
82214	23513	
6130	68706	
2779	14954	
92700	18352	
81464	2094	
82379	75476	
94414	19974	
83777	38044	
62540	47186	
44436	79324	
10162	79916	
6010	71603	
1972	25778	
12368	24940	
47565	34107	
61799	480	
21853	16714	
16683	14841	
13569	63104	
96593	49746	
93998	96780	
81757	75354	
21129	19742	
28749	65303	
47141	17817	
92870	51047	
50362	59974	
97273	91745	
99007	44453	
40593	79450	
85733	37759	
27323	47492	
87407	28791	
77650	95185	
